LOGFILE_constituency_parse.annotated_extended.only_polar.wrongsubcorpusRemoved_a1_gold standard_a2_system_2017-05-14_185731.txt;gold standard + system
SE__avg_TP_dice;1.0
SE__avg_dice;1.0
SE__cum_dice;979.0
SE__f1measure;1.0
SE__f1measure_exact;1.0
SE__precision;1.0
SE__precision_exact;1.0
SE__recall;1.0
SE__recall_exact;1.0
SE_a1;979.0
SE_a2;979.0
SE_fn;0.0
SE_fn_exact;0.0
SE_fp;0.0
SE_fp_exact;0.0
SE_tp;979.0
SE_tp_exact;979.0
source_SE__avg_TP_dice;NaN
source_SE__avg_dice;NaN
source_SE__cum_dice;0.0
source_SE__f1measure;NaN
source_SE__f1measure_exact;NaN
source_SE__precision;NaN
source_SE__precision_exact;NaN
source_SE__recall;NaN
source_SE__recall_exact;NaN
source_SE_fn;0.0
source_SE_fn_exact;0.0
source_SE_fp;0.0
source_SE_fp_exact;0.0
source_SE_tp;0.0
source_SE_tp_exact;0.0
source__avg_TP_dice;NaN
source__avg_dice;NaN
source__cum_dice;0.0
source__f1measure;NaN
source__f1measure_exact;NaN
source__precision;NaN
source__precision_exact;NaN
source__recall;NaN
source__recall_exact;NaN
source_fn;0.0
source_fn_exact;0.0
source_fp;0.0
source_fp_exact;0.0
source_tp;0.0
source_tp_exact;0.0
target_SE__avg_TP_dice;0.9736842105263159
target_SE__avg_dice;0.4668769716088329
target_SE__cum_dice;148.00000000000003
target_SE__f1measure;0.6481876332622601
target_SE__f1measure_exact;0.612691466083151
target_SE__precision;0.7562189054726368
target_SE__precision_exact;0.7407407407407407
target_SE__recall;0.5671641791044776
target_SE__recall_exact;0.5223880597014925
target_SE_fn;116.0
target_SE_fn_exact;128.0
target_SE_fp;49.0
target_SE_fp_exact;61.0
target_SE_tp;152.0
target_SE_tp_exact;140.0
target__avg_TP_dice;0.9736842105263159
target__avg_dice;0.4668769716088329
target__cum_dice;148.00000000000003
target__f1measure;0.6481876332622601
target__f1measure_exact;0.612691466083151
target__precision;0.7562189054726368
target__precision_exact;0.7407407407407407
target__recall;0.5671641791044776
target__recall_exact;0.5223880597014925
target_fn;116.0
target_fn_exact;128.0
target_fp;49.0
target_fp_exact;61.0
target_tp;152.0
target_tp_exact;140.0
